id,name,host_id,host_name,neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,coordinate
65908,Home in Lambeth · 1 bedroom · 1 bed · 1 bath,322341,Kate,,Lambeth,Private room,80,2,0,,,1,0,0,,"51.45932,-0.11874"
159736,Rental unit in Lambeth · ★4.72 · 1 bedroom · 1 bed · 1 shared bath,766056,Trevor,,Lambeth,Private room,60,13,96,4/29/2023,0.65,4,247,3,,"51.46788,-0.09993"
66772,Aparthotel in Hammersmith · ★4.68 · 1 bedroom · 1 bed · 1 private bath,216660,Boris,,Hammersmith and Fulham,Private room,85,3,122,8/22/2023,0.79,12,189,30,,"51.4937,-0.22914"
67851,Rental unit in London · ★4.90 · 1 bedroom · 1 bed · 1 bath,235606,Ben,,Hackney,Entire home/apt,150,6,40,7/30/2023,0.31,1,274,4,,"51.54092,-0.05905"
165336,Rental unit in Kensington · ★4.75 · 1 bedroom · 1 bed · 1 bath,761400,Nathan,,Kensington and Chelsea,Entire home/apt,100,1,227,8/29/2023,1.57,1,0,28,,"51.51735,-0.21076"
168348,Rental unit in Notting Hill · ★4.88 · 1 bedroom · 1 bed · 1 bath,802297,Alexandra,,Kensington and Chelsea,Entire home/apt,170,4,161,6/9/2023,1.1,1,93,2,,"51.51755,-0.20159"
69198,Rental unit in Tottenham · ★4.46 · 1 bedroom · 1 bed · 1 shared bath,345886,Alda,,Haringey,Private room,53,3,13,5/24/2022,0.1,1,363,0,,"51.59031,-0.09408"
168359,Rental unit in Greater London · ★4.63 · 2 bedrooms · 3 beds · 1 bath,648725,Michele,,Southwark,Entire home/apt,111,2,10,3/19/2019,0.07,1,0,0,,"51.49185,-0.08823"
70482,Rental unit in Greater London · 1 bedroom · 1 bed · 1 bath,357352,Michael,,Hackney,Entire home/apt,180,5,2,8/31/2022,0.14,1,362,0,,"51.54096,-0.0487"
170524,Rental unit in Greater London · 3 bedrooms · 1 bed · 2.5 baths,194769,S,,Westminster,Entire home/apt,1300,14,0,,,7,365,0,,"51.50612,-0.14029"
170702,Rental unit in London · ★4.95 · 1 bedroom · 1 bed · 1 bath,814004,Marie,,Tower Hamlets,Private room,60,3,136,12/3/2019,0.92,1,0,0,,"51.49686,-0.02627"
71875,Rental unit in Camden Town · ★4.76 · 1 bedroom · 1 bed · 1 bath,67564,Liz,,Camden,Entire home/apt,300,3,77,6/11/2023,0.54,9,171,3,,"51.52216,-0.13859"
172807,Rental unit in Paddington · ★4.75 · 2 bedrooms · 1 bed · 1 bath,824591,Anna,,Westminster,Entire home/apt,205,3,17,9/14/2017,0.12,1,0,0,,"51.51789,-0.158"
72913,Townhouse in London · ★4.82 · 1 bedroom · 1 bed · 1 private bath,379315,Matthew,,Lambeth,Private room,48,2,157,3/3/2020,1.03,1,0,0,,"51.48128,-0.11593"
172811,Rental unit in Camden Town · 2 bedrooms · 1 bed,806983,Elinor,,Camden,Entire home/apt,229,21,0,,,1,0,0,,"51.5471,-0.17981"
73125,Condo in London · ★4.95 · 1 bedroom · 1 bed · 1 shared bath,380897,Anna,,Lambeth,Private room,60,2,40,9/6/2023,0.26,1,86,12,,"51.44563,-0.14195"
73431,Rental unit in London · ★4.92 · 2 bedrooms · 3 beds · 2 baths,383525,Emi,,Lambeth,Entire home/apt,120,4,90,8/6/2023,0.74,1,5,13,,"51.46161,-0.11023"
174132,Rental unit in Paddington · ★4.67 · 1 bedroom · 1 bed · 1.5 baths,831866,Erika,,Westminster,Private room,80,1,262,8/27/2023,1.8,1,235,47,,"51.52636,-0.18801"
73884,Rental unit in Hammersmith · ★4.55 · 1 bedroom · 1 bed · 1.5 baths,216660,Boris,,Hammersmith and Fulham,Entire home/apt,60,1,160,8/20/2023,1.05,12,89,40,,"51.49349,-0.22766"
78606,Rental unit in Walthamstow · 1 bedroom · 1 private bath,422362,Nicola,,Waltham Forest,Private room,99,2,2,9/26/2019,0.04,1,0,0,,"51.57322,0.01045"
178519,Rental unit in London · ★4.54 · 2 bedrooms · 2 beds · 1.5 baths,1954110,Tariq,,Brent,Entire home/apt,150,3,15,7/3/2016,0.14,2,355,0,,"51.53753,-0.24013"
179312,Condo in Greater London · ★5.0 · 1 bedroom · 1 bed · 1 bath,858555,Larissa,,Islington,Entire home/apt,45,2,7,6/3/2018,0.09,1,0,0,,"51.55191,-0.11497"
78892,Home in Camberwell · ★4.88 · 1 bedroom · 1 bed · 1 shared bath,424230,Julia,,Southwark,Private room,40,7,60,6/4/2023,0.58,1,11,2,,"51.46478,-0.08007"
181664,Condo in Fulham · ★4.88 · 2 bedrooms · 2 beds · 1 bath,870749,Maz,,Hammersmith and Fulham,Entire home/apt,250,4,35,5/19/2023,0.28,1,270,5,,"51.47368,-0.18217"
79129,Home in Morden · ★4.90 · 1 bedroom · 1 bed · 1 shared bath,425764,Danielle,,Merton,Private room,45,1,166,8/13/2023,1.25,1,149,8,,"51.39648,-0.2117"
182802,Home in Richmond · ★4.84 · 1 bedroom · 1 bed · 1 shared bath,876774,Heather,,Richmond upon Thames,Private room,68,1,256,7/30/2023,1.83,1,349,33,,"51.43855,-0.32191"
79571,Rental unit in Kensington · ★4.55 · 1 bedroom · 1 bed · 1 bath,428600,Nicholas,,Kensington and Chelsea,Entire home/apt,99,2,13,7/3/2017,0.09,1,0,0,,"51.49096,-0.16183"
183128,Condo in London · ★4.98 · 1 bedroom · 1 bed · 1 private bath,878083,Kyri,,Southwark,Private room,92,2,190,8/5/2023,1.3,1,64,32,,"51.50038,-0.10001"
80123,Rental unit in Wandsworth · ★4.91 · 1 bedroom · 2 beds · 1 bath,432648,Melanie,,Wandsworth,Entire home/apt,110,2,159,7/25/2023,1.07,1,53,18,,"51.45173,-0.15556"
186682,Rental unit in London · ★4.83 · 1 bedroom · 1 bed · 1 bath,897316,Emily,,Brent,Entire home/apt,69,2,42,9/22/2020,0.38,1,0,0,,"51.54209,-0.202"
80441,Rental unit in Greater London · ★4.81 · 1 bedroom · 1 bed · 1 bath,416812,Esther,,Lambeth,Entire home/apt,95,20,90,3/15/2020,0.6,1,0,0,,"51.49297,-0.1216"
190015,Rental unit in Hackney · ★4.82 · 2 bedrooms · 3 beds · 1.5 baths,917148,Sara,,Hackney,Entire home/apt,150,6,18,7/31/2018,0.12,1,0,0,,"51.5367772390944,-0.0661823480475989"
81052,Rental unit in London · ★5.0 · 2 bedrooms · 2 beds · 1 bath,438948,Aslak,,Islington,Entire home/apt,133,6,10,4/6/2018,0.08,1,0,0,,"51.53917,-0.10221"
198279,Rental unit in London · ★4.77 · 1 bedroom · 1 bed · 1 shared bath,967645,Radhika And Lorenzo,,Tower Hamlets,Private room,45,8,253,8/29/2023,1.84,1,280,22,,"51.51462,-0.05969"
200713,Townhouse in London · ★4.41 · 1 bedroom · 1 bed · 1 shared bath,968464,Catia,,Croydon,Private room,19,4,52,8/7/2023,0.36,5,281,5,,"51.3843,-0.12723"
201463,Rental unit in Islington · ★4.34 · 1 bedroom · 1 bed · 1 bath,952983,Debbie,,Islington,Entire home/apt,129,3,199,8/27/2023,1.37,5,5,9,,"51.53561,-0.11338"
203163,Condo in London · ★4.89 · 1 bedroom · 1 bed · 1.5 shared baths,460272,Antonia Clare,,Southwark,Private room,64,1,104,8/31/2023,0.72,9,153,19,,"51.48579,-0.10765"
207542,Home in Tottenham · ★4.83 · 1 bedroom · 1 bed · 1 private bath,203343846,Angeles,,Haringey,Private room,65,3,51,7/15/2023,0.35,1,66,22,,"51.5851,-0.10277"
207912,Home in London · ★4.76 · 1 bedroom · 1.5 baths,1023326,Jocelyn,,Croydon,Private room,45,2,78,9/3/2023,0.54,3,314,9,,"51.3676,-0.12209"
208952,Home in London · 4 bedrooms · 4 beds · 1.5 shared baths,1029332,Joan,,Hackney,Private room,263,2,0,,,1,0,0,,"51.55239,-0.0346"
81080,Serviced apartment in Greater London · ★4.81 · 1 bedroom · 2 beds · 1 bath,439154,Lucy,,Richmond upon Thames,Entire home/apt,170,3,17,10/30/2022,0.25,5,362,3,,"51.40644,-0.33563"
210010,Rental unit in Paddington · ★5.0 · 1 bedroom · 1 bed · 1 bath,1035217,Ksenia,,Westminster,Entire home/apt,94,7,12,10/27/2019,0.08,1,0,0,,"51.51566,-0.17467"
214755,Rental unit in Greater London · ★5.0 · 2 bedrooms · 2 beds · 1.5 baths,1026967,James,,Kensington and Chelsea,Entire home/apt,650,7,33,8/7/2023,0.61,2,57,2,,"51.51146,-0.2021"
216350,Townhouse in London · ★4.87 · 3 bedrooms · 3 beds · 1 shared bath,1116804,Debbie,,Hammersmith and Fulham,Private room,84,1,308,8/28/2023,2.12,4,354,49,,"51.47928,-0.22061"
219665,Condo in London · ★4.81 · 1 bedroom · 2 beds · 1 shared bath,829010,Mike,,Southwark,Private room,60,14,149,6/12/2023,1.02,1,21,4,,"51.47433,-0.07876"
228195,Rental unit in London · ★4.74 · 2 bedrooms · 2 beds · 1 bath,940283,Andrew,,Kensington and Chelsea,Entire home/apt,95,75,71,9/5/2022,0.55,1,89,0,,"51.48829,-0.18905"
229684,Home in Lewisham · ★4.41 · 1 bedroom · 1 bed · 1.5 baths,448365,Roland,,Lewisham,Private room,30,1,22,11/6/2016,0.2,3,0,0,,"51.48793,-0.04204"
81410,Rental unit in London · ★4.84 · 2 bedrooms · 4 beds · 2 baths,441494,Fernando,,Camden,Entire home/apt,331,3,213,10/20/2020,1.44,7,329,0,,"51.52139,-0.13932"
230839,Rental unit in Hackney · ★4.50 · 1 bedroom · 1 bed · 1 bath,671259,Kiki,,Hackney,Entire home/apt,90,7,4,8/16/2012,0.03,1,0,0,,"51.5368,-0.07753"
81449,Rental unit in London · ★4.70 · 1 bedroom · 2 beds · 0 baths,441736,Kris,,Tower Hamlets,Entire home/apt,1001,1,193,3/31/2021,1.28,4,292,0,,"51.51045,-0.066283"
231452,Rental unit in London · ★5.0 · 1 bedroom · 1 bed · 1 shared bath,1210175,Ungelie,,Hammersmith and Fulham,Private room,90,1,6,5/28/2023,0.04,1,357,1,,"51.47118,-0.1844"
81635,Loft in London · ★4.94 · 1 bedroom · 1 bed · 1 private bath,443041,Carol,,Islington,Private room,115,3,62,5/8/2023,0.5,2,315,6,,"51.52707,-0.10923"
231692,Home in Greater London · ★4.86 · 1 bedroom · 1 bed · 1 bath,1211430,Janina,,Islington,Private room,55,20,39,7/10/2023,0.28,2,22,1,,"51.54818,-0.08428"
232240,"Rental unit in Flat 2, 150 Addison Gardens, · ★4.97 · 2 bedrooms · 2 beds · 1 bath",1214746,Nicola,,Hammersmith and Fulham,Entire home/apt,175,6,38,6/26/2023,0.26,1,332,5,,"51.498572121896,-0.219898028271687"
81951,Home in Romford · 1 bedroom · 1 bed · 2 baths,445322,Richard,,Havering,Entire home/apt,190,5,0,,,1,0,0,,"51.58388,0.15463"
232983,Rental unit in Camberwell · ★4.82 · 1 bedroom · 1 bed · 1 shared bath,1219410,Kobi,,Southwark,Private room,59,3,272,8/13/2023,1.89,3,270,28,,"51.48668,-0.10513"
84223,Condo in London · ★4.77 · 1 bedroom · 1 bed · 1.5 shared baths,460272,Antonia Clare,,Southwark,Private room,65,1,401,8/28/2023,2.66,9,331,25,,"51.48579,-0.1077"
236956,Rental unit in London · ★4.62 · 1 bedroom · 2 beds · 1.5 shared baths,979363,Donovan,,Lambeth,Private room,62,1,575,8/20/2023,3.99,7,314,41,,"51.50363,-0.10926"
84532,Rental unit in London · ★4.94 · 1 bedroom · 1 bed · 1.5 baths,462165,Murielle,,Hackney,Private room,44,3,137,8/22/2023,1.27,1,39,28,,"51.5766563415527,-0.061099000275135"
238349,Rental unit in Hammersmith · ★4.76 · 1 bedroom · 1 bed · 1 bath,1249927,Katherine,,Hammersmith and Fulham,Entire home/apt,120,6,130,7/31/2022,0.94,1,1,0,,"51.49609,-0.22782"
85191,Home in London · ★4.85 · 1 bedroom · 1 bed · 1.5 shared baths,466353,Elisabetta,,Lambeth,Private room,75,3,517,8/4/2023,3.43,1,325,55,,"51.49168,-0.1157"
238440,Condo in Kensington · ★4.42 · 1 bedroom · 2 beds · 2 baths,1210195,Chris,,Kensington and Chelsea,Entire home/apt,150,4,17,8/20/2018,0.12,1,0,0,,"51.5191,-0.2053"
86092,Rental unit in London · ★4.76 · 2 bedrooms · 2 beds · 1 bath,472474,Amy  Gabriella,,Hammersmith and Fulham,Entire home/apt,140,3,166,8/28/2023,1.14,1,61,34,,"51.48606,-0.19752"
238711,Rental unit in Kensington · ★4.86 · 1 bedroom · 1 bed · 1 bath,1251427,Benjamin,,Kensington and Chelsea,Entire home/apt,150,90,189,1/2/2020,1.31,2,22,0,,"51.51156,-0.19579"
239697,Rental unit in Greater London · ★4.70 · 1 bedroom · 1 bed · 1 private bath,1256723,Elaine,,Brent,Private room,55,3,94,12/9/2019,0.65,1,0,0,,"51.54491,-0.20988"
87827,Rental unit in London · 1 bedroom · 1 bed · 1 bath,479209,Paullus,,Westminster,Private room,150,30,0,,,1,0,0,,"51.5107,-0.18997"
240734,Rental unit in Hackney · ★5.0 · 2 bedrooms · 1 bed · 1 bath,1262783,Zoë,,Hackney,Entire home/apt,75,3,4,10/1/2012,0.03,2,0,0,,"51.57542,-0.06921"
89787,Rental unit in Feltham · 1 bedroom · 1 bed · 1 bath,488175,Dominic,,Hounslow,Entire home/apt,55,2,2,9/23/2016,0.02,1,0,0,,"51.44742,-0.43175"
241621,Townhouse in Wandsworth · ★4.74 · 1 bedroom · 1 bed · 1.5 shared baths,1267045,Clare,,Wandsworth,Private room,43,1,116,7/27/2023,0.84,1,76,7,,"51.42865,-0.15725"
89870,Rental unit in London · ★4.63 · 1 bedroom · 1 bed · 1 bath,54730,Alina,,Islington,Entire home/apt,149,1,129,8/15/2023,0.88,2,360,13,,"51.56792,-0.11125"
90700,Tiny home in Kensington · ★4.46 · 1 bedroom · 1 bed · 1 bath,491286,Chil,,Kensington and Chelsea,Entire home/apt,141,2,467,8/23/2023,3.14,2,227,44,,"51.51109,-0.19842"
241975,Rental unit in London · ★4.75 · 1 bedroom · 2 beds · 1 shared bath,1269568,Iki,,Islington,Private room,120,4,12,6/23/2023,0.26,3,262,5,,"51.56094,-0.10893"
90962,Townhouse in London · ★4.92 · 1 bedroom · 1 bed · 1 bath,492218,Richard,,Hammersmith and Fulham,Private room,89,15,12,7/21/2023,0.08,3,258,6,,"51.4881171146636,-0.225527561851044"
91287,"Rental unit in Islington, London · ★4.47 · 1 bedroom · 2 beds · 1 bath",493497,Clive,,Islington,Entire home/apt,140,4,61,8/8/2023,0.41,3,27,10,,"51.54026,-0.11712"
243077,Townhouse in Hackney · ★4.91 · 3 bedrooms · 4 beds · 2.5 baths,1275907,Madeleine,,Hackney,Entire home/apt,250,5,24,2/16/2023,0.17,3,9,1,,"51.55314,-0.04586"
